华硕（ASUS）ROG STRIX-GeForce GTX1080-A8G-GAMING 1670-1835MHz 10010MHz猛禽发烧级专业电竞“吃鸡”显卡,"【吃鸡显卡】ROG诚意力荐,10相超合金供电,RGB炫彩灯效,热管直触三风扇,低躁静音!【点我】抢猛禽1080Ti",5700+,华硕京东自营旗舰店,5999.00,3340788
EVGA GTX1080Ti 11G SC Black Edition GAMING iCX 1556-1670MHz/11000MHz 电脑吃鸡游戏独立显卡,EVGA GeForce GTX 1080 Ti 显卡选择使用 iCX 技术构建，与 iCX 散热进行动态互动式沟通并监控温度，为您提供无忧虑的战游环境。,400+,EVGA京东自营官...,6999.00,4124341
蓝宝石 (Sapphire) RX560D 4G D5 白金版 OC(75W) 1216MHz/6000MHz 4GB/128bit GDDR5 DX12游戏独立显卡,高效Dual-X散热系统 强劲核心动力 提供流畅游戏体验 英雄联盟180+FPS【点此：升级RX570 4G白金版】,700+,蓝宝石京东自营旗舰...,1059.00,4876573
蓝宝石（Sapphire）RX580 8G D5 超白金 OC 1340-1411MHz/8000MHz 8GB/256bit GDDR5 DX12 吃鸡显卡,超白金系列新升级，8G大显存，全新Dual-X 四热管双风扇散热系统，智能电路保护设计【点此：升级RX580 8G极光特别版】,8800+,蓝宝石京东自营旗舰...,3159.00,4879936
华硕（ASUS）ROG STRIX-GeForce GTX1070TI-A8G-GAMING 1607-1683MHz 8008MHz 猛禽战枭电竞“吃鸡”显卡,"【好评如潮!】真吃鸡力作,1070性能再升级,RGB自定义灯效,双HDMI接口,电竞更畅爽!好显卡!看评论!【一键升级】1080吃鸡显卡",2100+,华硕京东自营旗舰店,5499.00,5486037
微星 MSI GTX 1050 Ti GAMING X 4G 128BIT GDDR5 PCI-E 3.0 旗舰红龙 吃鸡显卡,"炫白龙魂灯,刀锋4代智能风扇,8毫米S型热管,非公3+1强化供电,畅玩游戏盛宴!",7900+,微星京东自营旗舰店,1599.00,3977224
技嘉（GIGABYTE） GTX1070Ti 显卡 Gaming 8G 豪华版 吃鸡显卡 GTX1070Ti 8G,数量有限先买先得！一键超频 豪华用料！,700+,灵竞DIY专营店,4699.00,18721271474
微星 MSI GTX 1080 Ti GAMING X TRIO 352BIT 11GB GDDR5X PCI-E 3.0 微星飓龙 吃鸡显卡,"RGB炫光灯效，新一代三风扇飓龙,零动空间智能停转,搭配8*2超导热管,不一样的三风,不一样的吃鸡体验!升级高规1080Ti闪电",500+,微星京东自营旗舰店,7699.00,5660744
讯景（XFX）RX Vega 64 8GB HBM2 Air cooling (Black design) 1546Mhz/1.9 Gbps 2048bit 显卡,,300+,XFX旗舰店,4999.00,4691175
七彩虹(Colorful)iGame1070烈焰战神S-8GD5 1531-1721MHz/8008MHz 8G/256bitGDDR5吃鸡显卡,大号双风散热，6+2相供电，全高清输出，PCB镀银更耐久，金属加固背板，高性价利器！【升级1070Ti新品】,2400+,七彩虹京东自营旗舰...,3999.00,3087219
技嘉(GIGABYTE)GeForce GTX 1050Ti OC 1316-1430MHz/7008MHz 4G/128bit游戏显卡,进阶版风之力2X散热系统/全新耐久用料/技嘉1050Ti OC高性价比显卡助你轻松游戏!★热销高规1050Ti★,2000+,技嘉京东自营官方旗...,1459.00,3592597
技嘉(GIGABYTE)GeForce GTX 1050Ti G1 GAMING 1366-1480MHz/7008MHz 4G/128bit游戏显卡,正逆转交替风扇设计/软磁粉复合式热管强力吸温/5枚显示接口兼容无忧/G1信仰强势加成!★60 6G “吃鸡”无忧★,1.1万+,技嘉京东自营官方旗...,1599.00,3936574
丽台（LEADTEK）Quadro P600 2GB GDDR5/128bit/64GBps/CUDA核心384 Pascal GPU架构/支持5K 绘图专业显卡,Pascal架构的入门级专业显卡，4个miniDP接口，自带4根miniDP转DP转接线；支持4个5K显示器输出；支持Windows7/8/10,1200+,丽台旗舰店,1499.00,4991758
丽台（LEADTEK）Quadro P1000 4GB GDDR5/128bit/82GBps CUDA核心640 Pascal GPU架构/建模渲染绘图专业显卡,4个miniDP接口，自带4根miniDP转DP转接线、附送一个半高挡片；支持4个5K显示器输出；支持Windows7/8/10,300+,丽台旗舰店,2689.00,4146683
耕升 GeForce GTX1060 追风 1518MHz/1733MHz/8008MHz 6G/192bit GDDR5 显卡,"【耕升三年质保承诺！】十力强劲！风之加护！支持VR！ 畅玩4K游戏！风盾XE散热器,G型热管设计，3+1相供电，6G大显存！全数字接口！",200+,耕升京东自营旗舰店,2599.00,3047085
讯景（XFX）RX 580 8G 黑狼版 1366MHz/8GHz-1386MHz/8.1GHz 256bit GDDR5 显卡,【专业“吃鸡”显卡，8G显存吃的爽】核心频率1386MHz，酷魂5代整体散热，安静吃鸡拒绝噪音。,2700+,XFX旗舰店,2999.00,4075141
索泰（ZOTAC）GeForce GTX1060-6GD5至尊Plus OC 绝地求生/吃鸡显卡 1607-1835/8108MHz 6G/192bit,"10”不可挡,游戏先锋!高频GTX1060升级RGB-LED炫彩灯光,10相供电,3D-STORM背板风扇,轻松玩转4K游戏!★60不够？70来凑！★",8700+,索泰京东自营旗舰店,2899.00,3449888
索泰（ZOTAC）GeForce GTX1080-8GD5X玩家力量至尊 绝地求生/吃鸡显卡 1721-1860/10210MHz 8G/256bit,"18相供电,炫彩极光复合背板!灯效自由掌控,新版Firestorm结合Z-ELVES模块!玩转4K,玩转VR!★加点升级Ti★",2400+,索泰京东自营旗舰店,5399.00,2914029
英伟达(NVIDIA)TITAN Xp COLLECTOR'S EDITION(Galactic Empire)星球大战 典藏版(银河帝国)显卡,TITAN Xp星战典藏版京东首发！,4,,9699.00,6512865
华硕（ASUS）DUAL-GeForce GTX1050-O2G-V2 1404-1518MHz 7008MHz GDDR5 雪豹游戏显卡 无需外接电源,【即插即用】核心频率升级，性能强悍雪豹，优秀游戏表现！【点我】1050雪豹，价格更亲民！,3700+,华硕京东自营旗舰店,1199.00,4813233
影驰（Galaxy）GeForce GTX 1050 Ti GAMER 1366(1480)MHz/7GHz 4G/128Bit D5 PCI-E吃鸡显卡,"【三年质保,游戏定制】WE战队倾情推荐，魔盘真彩技术，炫彩RGB信仰灯，畅玩各大游戏!WE战队指定吃鸡游戏硬件",3300+,影驰京东自营旗舰店,1699.00,3775089
技嘉(GIGABYTE)GeForce GT 1030 OC 2G 1265-1544MHz/6008MHz 2G/64bit显卡,性能媲美GTX750Ti，MOBA游戏更强劲，4K解码更流畅!30W超低功耗！★加一点升级人气1050 OC★,1800+,技嘉京东自营官方旗...,599.00,4278283
华硕（ASUS）ROG STRIX-GeForce GTX1060-O6G-GAMING 1645-1873MHz 8GHz GDDR5 猛禽电竞游戏“吃鸡”显卡,"【吃鸡显卡力荐】猛禽1060,7相超合金供电!热管直触三风扇!RGB自定义灯效!出厂自带光环!1060雪豹，双风酷冷",1.8万+,华硕京东自营旗舰店,3599.00,3294270
索泰（ZOTAC）GeForce GTX1060-6GD5 X-GAMING OC 绝地求生/吃鸡显卡 1569-1784/8008MHz 6G/192bit,"好评如潮!电竞游戏卡, PG先锋过百帧! 有信仰耀目LOGO灯, 白金效能用料更节能!★职业吃鸡战队推荐Ti厉害★",2.2万+,索泰京东自营旗舰店,2799.00,3281156
华硕（ASUS） 猛禽STRIX-GTX1050TI-4G 台式电脑主机吃鸡游戏独立显卡,【14号8点GTX1060雪豹秒杀 收藏加购不容错过！】点击查看！,200+,华硕电脑配件专卖店,1799.00,14819982082
微星（MSI）GeForce GTX 1070 GAMING X  256bit  8GB GDDR5 PCI-E 3.0 旗舰红龙 吃鸡显卡,"酷炫RGB龙魂灯,龙纹铝制合金强化背板,零噪智能风扇散热技术,非公8+2强化供电设计,PCB强化散热装甲,畅玩游戏盛宴!点我升级1080X红龙",2800+,微星京东自营旗舰店,4199.00,2912105
技嘉(GIGABYTE)AORUS GeForce GTX 1070Ti 1607MHz-1683MHz/8008MHz/8G/256bit绝地求生/吃鸡显卡,"AORUS高能电竞显卡，“黄金之心”全金属背板!炫彩RGB信仰灯,性能再次突破！吃鸡so easy！★升级1080Ti★",100+,技嘉京东自营官方旗...,4999.00,5937031
