Python工程师,北京·海淀区,20k-40k,经验1-3年 / 本科,Face++,"移动互联网,硬件 / C轮","“技术驱动,极客氛围,大牛团队”","中级, 后端, django",https://www.lagou.com/jobs/3093928.html
Python 开发工程师,北京·酒仙桥,25k-35k,经验3-5年 / 本科,360,"移动互联网,游戏 / 上市公司",“五险一金 补充医疗 免费三餐和班车”,"C++, Go",https://www.lagou.com/jobs/4022085.html
Python开发工程师（上海）,上海·东外滩,15k-30k,经验不限 / 本科,平安科技,金融 / 不需要融资,“世界50强 节日福利 绩效丰厚”,"大数据, 数据挖掘",https://www.lagou.com/jobs/4184905.html
Python开发工程师（上海）,上海·东外滩,15k-30k,经验不限 / 本科,平安科技,金融 / 不需要融资,“世界50强 节日福利 绩效丰厚”,"大数据, 数据挖掘",https://www.lagou.com/jobs/4184905.html
高级Python研发工程师,北京·四惠,25k-35k,经验3-5年 / 本科,掌阅,移动互联网 / 不需要融资,"“扁平化管理,福利待遇佳,学习氛围好,晋升空间大”","云计算, Java, 架构",https://www.lagou.com/jobs/2704328.html
Python开发工程师（上海）,上海·东外滩,15k-30k,经验不限 / 本科,平安科技,金融 / 不需要融资,“世界50强 节日福利 绩效丰厚”,"大数据, 数据挖掘",https://www.lagou.com/jobs/4184905.html
Python开发工程师,成都·武侯区,9k-16k,经验3-5年 / 本科,顺网科技,"游戏,文化娱乐 / 上市公司","“上市公司,大数据,大平台,福利健全”","游戏, 直播, 中级, Java, 后端",https://www.lagou.com/jobs/4234719.html
Python开发工程师,深圳·南头,10k-20k,经验1-3年 / 本科,极光,"移动互联网,数据服务 / D轮及以上",“五险一金、14薪/年、下午茶、工作餐等等”,云计算,https://www.lagou.com/jobs/907162.html
Python开发工程师,深圳·南头,10k-20k,经验1-3年 / 本科,极光,"移动互联网,数据服务 / D轮及以上",“五险一金、14薪/年、下午茶、工作餐等等”,云计算,https://www.lagou.com/jobs/907162.html
Python开发工程师,北京·朝阳区,15k-30k,经验5-10年 / 本科,美利金融,"移动互联网,金融 / A轮","“大牛团队,年底绩效”","php, Java, MySQL",https://www.lagou.com/jobs/4252110.html
Python开发工程师,深圳·南头,10k-20k,经验1-3年 / 本科,极光,"移动互联网,数据服务 / D轮及以上",“五险一金、14薪/年、下午茶、工作餐等等”,云计算,https://www.lagou.com/jobs/907162.html
Python开发工程师,北京·中关村,18k-28k,经验1-3年 / 硕士,爱奇艺,"广告营销,文化娱乐 / D轮及以上",“14薪，12天带薪年假，地铁周边”,"云计算, 直播, 资深, 高级, django",https://www.lagou.com/jobs/3029530.html
Python软件开发工程师,深圳·南山区,15k-20k,经验1-3年 / 本科,深信服科技集团,"信息安全,企业服务 / 不需要融资","“平台大,发展快,待遇好,福利棒”",django,https://www.lagou.com/jobs/4009780.html
Python工程师,北京·海淀区,20k-40k,经验1-3年 / 本科,Face++,"移动互联网,硬件 / C轮","“技术驱动,极客氛围,大牛团队”","中级, 后端, django",https://www.lagou.com/jobs/3093928.html
Python软件开发工程师,深圳·南山区,15k-20k,经验1-3年 / 本科,深信服科技集团,"信息安全,企业服务 / 不需要融资","“平台大,发展快,待遇好,福利棒”",django,https://www.lagou.com/jobs/4009780.html
Python工程师,北京·海淀区,20k-40k,经验1-3年 / 本科,Face++,"移动互联网,硬件 / C轮","“技术驱动,极客氛围,大牛团队”","中级, 后端, django",https://www.lagou.com/jobs/3093928.html
Python工程师,北京·海淀区,20k-40k,经验1-3年 / 本科,Face++,"移动互联网,硬件 / C轮","“技术驱动,极客氛围,大牛团队”","中级, 后端, django",https://www.lagou.com/jobs/3093928.html
Python软件开发工程师,深圳·南山区,15k-20k,经验1-3年 / 本科,深信服科技集团,"信息安全,企业服务 / 不需要融资","“平台大,发展快,待遇好,福利棒”",django,https://www.lagou.com/jobs/4009780.html
